Conc.,T1,T2,T3
0.025,0.01,0.005,0.005
0.033,0.01,0.008,0.01
0.05,0.02,0.015,0.012
0.1,0.02,0.025,0.03
0.2,0.05,0.065,0.055
0.5,0.08,0.07,0.09
0.75,0.1,0.08,0.11
1,0.12,0.09,0.09
1.5,0.11,0.12,0.13
